split,metric,population,quantile,value,population_tile_count
val,roads_fraction_valid,all_tiles,1.0,0.40637317953611884,432
val,roads_fraction_valid,positive_tiles,0.0,0.0007570858503809088,432
val,roads_fraction_valid,positive_tiles,0.25,0.017059311615760946,432
val,roads_fraction_valid,positive_tiles,0.5,0.029956617502604366,432
val,roads_fraction_valid,positive_tiles,0.75,0.0668835955859527,432
val,roads_fraction_valid,positive_tiles,0.9,0.14717991002626274,432
val,roads_fraction_valid,positive_tiles,0.95,0.21373451254087605,432
val,roads_fraction_valid,positive_tiles,0.99,0.31792939190684205,432
val,roads_fraction_valid,positive_tiles,1.0,0.40637317953611884,432
val,vegetation_fraction_valid,all_tiles,0.0,0.027809593622577542,432
val,vegetation_fraction_valid,all_tiles,0.25,0.8101642317762164,432
val,vegetation_fraction_valid,all_tiles,0.5,0.9287090703432155,432
val,vegetation_fraction_valid,all_tiles,0.75,0.968049910313868,432
val,vegetation_fraction_valid,all_tiles,0.9,0.9797152816290199,432
val,vegetation_fraction_valid,all_tiles,0.95,0.9852866730518454,432
val,vegetation_fraction_valid,all_tiles,0.99,0.9966981601667099,432
val,vegetation_fraction_valid,all_tiles,1.0,0.9988663381146573,432
val,vegetation_fraction_valid,positive_tiles,0.0,0.027809593622577542,432
val,vegetation_fraction_valid,positive_tiles,0.25,0.8101642317762164,432
val,vegetation_fraction_valid,positive_tiles,0.5,0.9287090703432155,432
val,vegetation_fraction_valid,positive_tiles,0.75,0.968049910313868,432
val,vegetation_fraction_valid,positive_tiles,0.9,0.9797152816290199,432
val,vegetation_fraction_valid,positive_tiles,0.95,0.9852866730518454,432
val,vegetation_fraction_valid,positive_tiles,0.99,0.9966981601667099,432
val,vegetation_fraction_valid,positive_tiles,1.0,0.9988663381146573,432
val,bare_land_fraction_valid,all_tiles,0.0,0.0,432
val,bare_land_fraction_valid,all_tiles,0.25,0.0,432
val,bare_land_fraction_valid,all_tiles,0.5,0.0,432
val,bare_land_fraction_valid,all_tiles,0.75,0.0,432
val,bare_land_fraction_valid,all_tiles,0.9,0.006693822310409851,432
val,bare_land_fraction_valid,all_tiles,0.95,0.01945382548665566,432
val,bare_land_fraction_valid,all_tiles,0.99,0.052032748333945056,432
val,bare_land_fraction_valid,all_tiles,1.0,0.11738082765845993,432
val,bare_land_fraction_valid,positive_tiles,0.0,4.688452341881945e-05,98
val,bare_land_fraction_valid,positive_tiles,0.25,0.0018773586565953462,98
val,bare_land_fraction_valid,positive_tiles,0.5,0.0050933148319156525,98
val,bare_land_fraction_valid,positive_tiles,0.75,0.018340711944206865,98
val,bare_land_fraction_valid,positive_tiles,0.9,0.03169005456150927,98
val,bare_land_fraction_valid,positive_tiles,0.95,0.04868475739267813,98
val,bare_land_fraction_valid,positive_tiles,0.99,0.09425230788464642,98
val,bare_land_fraction_valid,positive_tiles,1.0,0.11738082765845993,98
val,water_fraction_valid,all_tiles,0.0,0.0,432
val,water_fraction_valid,all_tiles,0.25,0.0,432
