split,metric,population,quantile,value,population_tile_count
val,valid_fraction_source_pixels,all_tiles,0.9,0.9362258911132812,432
val,valid_fraction_source_pixels,all_tiles,0.95,0.9512578549592391,432
val,valid_fraction_source_pixels,all_tiles,0.99,0.9776351265285326,432
val,valid_fraction_source_pixels,all_tiles,1.0,0.98089599609375,432
val,valid_fraction_source_pixels,positive_tiles,0.0,0.1849212646484375,432
val,valid_fraction_source_pixels,positive_tiles,0.25,0.6533012390136719,432
val,valid_fraction_source_pixels,positive_tiles,0.5,0.8267135620117188,432
val,valid_fraction_source_pixels,positive_tiles,0.75,0.9035911560058594,432
val,valid_fraction_source_pixels,positive_tiles,0.9,0.9362258911132812,432
val,valid_fraction_source_pixels,positive_tiles,0.95,0.9512578549592391,432
val,valid_fraction_source_pixels,positive_tiles,0.99,0.9776351265285326,432
val,valid_fraction_source_pixels,positive_tiles,1.0,0.98089599609375,432
val,padding_fraction,all_tiles,0.0,0.0,432
val,padding_fraction,all_tiles,0.25,0.0,432
val,padding_fraction,all_tiles,0.5,0.0,432
val,padding_fraction,all_tiles,0.75,0.0,432
val,padding_fraction,all_tiles,0.9,0.28125,432
val,padding_fraction,all_tiles,0.95,0.28125,432
val,padding_fraction,all_tiles,0.99,0.28125,432
val,padding_fraction,all_tiles,1.0,0.4833984375,432
val,padding_fraction,positive_tiles,0.0,0.28125,69
val,padding_fraction,positive_tiles,0.25,0.28125,69
val,padding_fraction,positive_tiles,0.5,0.28125,69
val,padding_fraction,positive_tiles,0.75,0.28125,69
val,padding_fraction,positive_tiles,0.9,0.28125,69
val,padding_fraction,positive_tiles,0.95,0.28125,69
val,padding_fraction,positive_tiles,0.99,0.4833984375,69
val,padding_fraction,positive_tiles,1.0,0.4833984375,69
val,conflict_fraction_source_pixels,all_tiles,0.0,0.00439453125,432
val,conflict_fraction_source_pixels,all_tiles,0.25,0.016628265380859375,432
val,conflict_fraction_source_pixels,all_tiles,0.5,0.03198938784391984,432
val,conflict_fraction_source_pixels,all_tiles,0.75,0.06610870361328125,432
val,conflict_fraction_source_pixels,all_tiles,0.9,0.14117431640625003,432
val,conflict_fraction_source_pixels,all_tiles,0.95,0.1950752258300781,432
val,conflict_fraction_source_pixels,all_tiles,0.99,0.3007270812988281,432
val,conflict_fraction_source_pixels,all_tiles,1.0,0.4163360595703125,432
val,conflict_fraction_source_pixels,positive_tiles,0.0,0.00439453125,432
val,conflict_fraction_source_pixels,positive_tiles,0.25,0.016628265380859375,432
val,conflict_fraction_source_pixels,positive_tiles,0.5,0.03198938784391984,432
val,conflict_fraction_source_pixels,positive_tiles,0.75,0.06610870361328125,432
val,conflict_fraction_source_pixels,positive_tiles,0.9,0.14117431640625003,432
val,conflict_fraction_source_pixels,positive_tiles,0.95,0.1950752258300781,432
val,conflict_fraction_source_pixels,positive_tiles,0.99,0.3007270812988281,432
val,conflict_fraction_source_pixels,positive_tiles,1.0,0.4163360595703125,432
val,buildings_fraction_valid,all_tiles,0.0,1.5781084791768588e-05,432
val,buildings_fraction_valid,all_tiles,0.25,0.008951872650271293,432
val,buildings_fraction_valid,all_tiles,0.5,0.02329884935945742,432
val,buildings_fraction_valid,all_tiles,0.75,0.07661474609116599,432
val,buildings_fraction_valid,all_tiles,0.9,0.1945900345300829,432
val,buildings_fraction_valid,all_tiles,0.95,0.30039552102925215,432
val,buildings_fraction_valid,all_tiles,0.99,0.5545568800336067,432
val,buildings_fraction_valid,all_tiles,1.0,0.678416955017301,432
val,buildings_fraction_valid,positive_tiles,0.0,1.5781084791768588e-05,432
val,buildings_fraction_valid,positive_tiles,0.25,0.008951872650271293,432
val,buildings_fraction_valid,positive_tiles,0.5,0.02329884935945742,432
val,buildings_fraction_valid,positive_tiles,0.75,0.07661474609116599,432
val,buildings_fraction_valid,positive_tiles,0.9,0.1945900345300829,432
val,buildings_fraction_valid,positive_tiles,0.95,0.30039552102925215,432
val,buildings_fraction_valid,positive_tiles,0.99,0.5545568800336067,432
val,buildings_fraction_valid,positive_tiles,1.0,0.678416955017301,432
val,roads_fraction_valid,all_tiles,0.0,0.0,432
val,roads_fraction_valid,all_tiles,0.25,0.012489569133912332,432
val,roads_fraction_valid,all_tiles,0.5,0.022211200395083525,432
val,roads_fraction_valid,all_tiles,0.75,0.04654181486913167,432
val,roads_fraction_valid,all_tiles,0.9,0.09883075101642796,432
val,roads_fraction_valid,all_tiles,0.95,0.1330443708750025,432
val,roads_fraction_valid,all_tiles,0.99,0.2177289176730159,432
val,roads_fraction_valid,all_tiles,1.0,0.27914143598615915,432
val,roads_fraction_valid,positive_tiles,0.0,0.0002209351870847602,429
val,roads_fraction_valid,positive_tiles,0.25,0.012626217970255885,429
val,roads_fraction_valid,positive_tiles,0.5,0.02224713454587626,429
val,roads_fraction_valid,positive_tiles,0.75,0.0466801971585967,429
val,roads_fraction_valid,positive_tiles,0.9,0.09952526763821468,429
val,roads_fraction_valid,positive_tiles,0.95,0.13370087808756387,429
val,roads_fraction_valid,positive_tiles,0.99,0.2183119629732359,429
val,roads_fraction_valid,positive_tiles,1.0,0.27914143598615915,429
val,vegetation_fraction_valid,all_tiles,0.0,0.03281790657439446,432
val,vegetation_fraction_valid,all_tiles,0.25,0.8327058455794007,432
val,vegetation_fraction_valid,all_tiles,0.5,0.9375874588213846,432
val,vegetation_fraction_valid,all_tiles,0.75,0.9727396582693051,432
val,vegetation_fraction_valid,all_tiles,0.9,0.983226045609983,432
val,vegetation_fraction_valid,all_tiles,0.95,0.9882898923763923,432
val,vegetation_fraction_valid,all_tiles,0.99,0.9973054977060363,432
val,vegetation_fraction_valid,all_tiles,1.0,0.999952712713975,432
val,vegetation_fraction_valid,positive_tiles,0.0,0.03281790657439446,432
val,vegetation_fraction_valid,positive_tiles,0.25,0.8327058455794007,432
